Hanji,POJ
鴉,a
啊,a
阿,a
仔,a2
尚,a2
也,a2
阿,a2
a3-a3,a3-a3
啞啞,a3-a3
猶未,a2-be7
尚未,a2-boe7
阿誚,a2-chhiau5
a2-i5,a2-i5
阿囝,a2-kiaⁿ2
a2-pa2,a2-pa2
抑是,a2-si7
啞,a3
亞,a3
a3,a3
呵,a3
亞元,a3-goan5
亞魁,a3-khoe
啞口,a3-kho͘2
啞鈴,a3-leng5
拗霸,a3-pa3
亞聖,a3-seng3
呵,a5
亦,a7
也,a7
呵,a7
亦一個,a7-che5
亦一個,a7-chit8-e5
亦na2,a7-na2
亦使,a7-sai2
亦是,a7-si7
也是,a7-si7
亦有,a7-u7
亦有一個,a7-u7 chit8-e5
呵呵,a-A
a-a cha-cha,a-a cha-cha
a-a cham-cham,a-a cham-cham
亞米利加,A-bi2-li7-ka
阿母,a2-bu2
阿母,an2-bu2
阿but仔,a-but-a2
a-cha,a-cha
a-cham,am-cham
阿叔,a2-chek
阿叔,an2-chek
阿姊,a-chi2
阿姊,a2-che2
阿姊,a2-chi2
阿姊,an2-che2
阿姐,a-chia2
阿嬸,a2-chim2
阿嬸,an2-chim2
亞洲,a-chiu
阿祖,a-cho͘2
阿語,a-gu7
阿魏,a-gui7
鴨,ah
百,ah
押,ah
呵,ah
啊,ah
盒,ah8
押,ah8
亦,ah8
呵,ah8
盒仔,ah8-a2
盒儀,ah8-gi5
亦是,ah8-si7
鴨仔,ah-a2
鴨a2尾,ah-a2 be2
鴨仔tan,ah-a2-tan
鴨a2湯,ah-a2-thng
押後,ah-au7
鴨肉,ah-bah
押尾,ah-boe2
押尾,ah-ber2
押尾手,ah-be2-chhiu2
押尾槳,ah-be2-chiuⁿ2
鴨尾椎,ah-be2-chui
鴨bi5,ah-bi5
押味,ah-bi7
鴨母,ah-bu2
益母草,ek-bu2-chhau2
鴨母樹,ah-bu2-chhiu7
鴨母嘴,ah-bu2-chhui3
鴨母珠,ah-bu2-chu
鴨母乙,ah-bu2-it
鴨母蹄,ah-bu2-te5
鴨母頭,ah-bu2-thau5
鴨母潮,ah-bu2-tiau5
押儎,ah-chai7
押讚,ah-chan3
押壓,ah-chhi3
押尺,ah-chhioh
鴨嘴黃,ah-chhui3-hong5
鴨嘴箆,ah-chhui3-phoe
鴨嘴箆黃,ah-chhui3-phoe-hong5
鴨舌草,ah-chih8-chhau2
鴨舌黃,ah-chih8-hong5
押借,ah-chioh
鴨掌骨髓,ah-chiong2-kut-chhe2
押槳,ah-chiuⁿ2
鴨掌,ah-chiong2
押船,ah-chun5
鴨液,ah-ek8
押貨,ah-he3
押貨客,ah-he3-kheh
鴨肉,ah-hek8
鴨hian3,ah-hian3
押餉,ah-hiong3
鴨雄,ah-heng5
鴨雄仔聲,ah-heng5-a2-siaⁿ
鴨雄聲,ah-hiong5-siaⁿ
押號,ah-ho7
鴨販,ah-hoan3
押犯,ah-hoan7
押夫,ah-hu
阿兄,a2-hiaⁿ
阿兄,an2-hiaⁿ
押壓,ah-jih8
押日,ah-jit8
鴨kak,ah-kak
鴨公,ah-kang
鴨腳,ah-kha
鴨腳爬,ah-kha-pe5
鴨腳稷,ah-kha-sek
鴨腳黍,ah-kha-soe
鴨腳蹄,ah-kha-te5
押款,ah-khoan2
鴨腱,ah-kian7
鴨腱籐,ah-kian7-tin5
鴨羹,ah-kiⁿ
押扛,ah-kng
押館,ah-koan2
鴨痀仔,ah-ku-a2
鴨kui,ah-kui
押櫃金,ah-kui7-kim
押勒,ah-lah
鴨籠,ah-lam
押勒,ah-lek
鴨綠,ah-lek8
押令,ah-leng7
押落,ah-loh8
鴨角仔,ah-lut-a2
鴨卵,ah-nng7
鴨卵面,ah-nng7-bin7
鴨卵清,ah-nng7-chheng
鴨卵青,ah-nng7-chhiⁿ
鴨卵形,ah-nng7-heng5
鴨卵仁,ah-nng7-jin5
鴨卵燥,ah-nng7-so3
ㄚ鬟,a-hoan5
鴨羓,ah-pa
鴨脾,ah-pi5
押榜,ah-png2
鴨婆,ah-po5
押搬追租,ah-poaⁿ-tui-cho͘
押不倒,ah-put-to2
鴨屎色,ah-sai2-sek
押送,ah-sang3
押siaⁿ7,ah-siaⁿ7
鴨siuⁿ2,ah-siuⁿ2
押息,ah-soah
押煞,ah-soah
押束,ah-sok
押所,ah-so͘2
鴨冬,ah-tang
押冬,ah-tang
押冬茶,ah-tang-te5
鴨蹄草,ah-te5-chhau2
鴨蹄黍,ah-te5-soe2
押頭槳,ah-thau5-chiuⁿ2
鴨土珠,ah-tho͘5-chu
鴨豚仔,ah-thun5-a2
押舵,ah-toa7
押追,ah-tui
阿芙蓉,a-hu5-iong5
亞非利加,A-hui-li7-ka
押韻,ah-un7
押運,ah-un7
押屈,ah-ut
哎,ai
哀,ai
ai,ai
藹,ai2
餲,ai2
ai2仔,ai2-a2
靄霧,ai2-bu7
餲滓味,ai2-tai2-bi7
餲滓甜,ai2-tai2-tiⁿ
愛,ai3
隘,ai3
愛欲,ai3-beh
愛吻吻,ai3-but-but
愛財,ai3-chai5
愛走,ai3-chau2
愛情,ai3-cheng5
愛雀,ai3-chhiak8
愛妾,ai3-chhiap
愛笑,ai3-chhio3
愛食,ai3-chiah8
愛做,ai3-choe3
愛玉籽,ai3-giok8-chi2
愛哮,ai3-hau2
愛哮神,ai3-hau2-sin5
愛花,ai3-hoe
噯喲,ai5-ioh
噯喲,ai-io3
噯喲,ai5-io3
隘勇,ai3-iong2
隘勇營,ai3-iong2-iaⁿ5
隘勇寮,ai3-iong2-liau5
隘勇線,ai3-iong2-soaⁿ3
愛開,ai3-khai
隘口,ai3-khau2
愛哭,ai3-khau3
愛哭胚,ai3-khau3-phe
愛卿,ai3-kheng
愛蹲,ai3-khu5
愛睏,ai3-khun3
愛睏藥,ai3-khun3-ioh8
愛睏款,ai3-khun3-khoan2
愛睏鬼,ai3-khun3-kui2
愛奇,ai3-ki5
愛嬌,ai3-kiau
愛國,ai3-kok
愛國針,ai3-kok-chiam
愛國耳鉤,ai3-kok hiⁿ7-kau
愛國婦人會,ai3-kok hu7-jin5-hoe7
愛國環,ai3-kok-khoan5
愛國頭,ai3-kok-thau5
愛顧,ai3-ko͘3
愛撈,ai3-la7
愛懶,ai3-lan2
愛lau,ai3-lau
隘寮,ai3-liau5
曖昧,ai3-mai7
隘門,ai3-mng5
隘門孔,ai3-mng5-khang
愛拈拈,ai3-ni-ni
愛冤,ai3-oan
愛惡,ai3-o͘3
愛炳糕,ai3-peng2-ko
愛變面,ai3-piⁿ3-bin7
愛心心,ai3-sim-sim
愛惜,ai3-sioh
愛戲,ai3-sng2
愛事,ai3-su7
愛嘴,ai3-sui
愛sui2,ai3-sui2
愛sui2精,ai3-sui2-chiⁿ
靉靆,ai3-tai7
隘丁,ai3-teng
愛聽,ai3-thiaⁿ
愛痛,ai3-thiaⁿ3
愛thit,ai3-thit
愛值,ai3-tih8
愛得,ai3-tit
阿姨,an2-i5
哎啊,ai5-ah
唉啊,ai5-ia3
哎啊,ai-ah
哀哀,ai-ai
亞鉛,a-ian5
亞鉛網,a-ian5-bang7
亞鉛橋,a-ian5-kio5
亞鉛管,a-ian5-kong2
亞鉛版,a-ian5-pan2
亞鉛片,a-ian5-phiⁿ3
亞鉛pho͘7,a-ian5-pho͘7
亞鉛線,a-ian5-soaⁿ3
亞鉛桶,a-ian5-thang2
亞鉛鐵,a-ian5-thih
亞鉛套,a-ian5-tho3
哀鳴,ai-beng5
餲味,ai2-bi7
哀哉,ai-chai
哀囃,ai-chap8
哀慘,ai-chham2
哀請,ai-chheng2
哀鬱,ai-eh8
哀鬱,aiⁿ-eh8
哀鬱,aiⁿ5-eh8
哎,aih
哎,ai5
哎,ai7
哎,aih8
哎,aiⁿ
唉啊,ai-ia5
哀感謝,ai-kam2-sia7
哀哭,ai-khau3
哀苦,ai-kho͘2
埃及國,ai-kip8-kok
哀求,ai-kiu5
哀求書,ai-kiu5-su
哀樂,ai-lok8
阿嬰,an2-iⁿ
噯,aih8
背,aiⁿ7
背巾,aiⁿ7-kin
唉唉,aiⁿ-aiⁿ
哀怨,ai-oan3
哀別離苦,ai-piat8 li5-kho͘2
哀聲,ai-siaⁿ
哀傷,ai-siong
哀訴,ai-so͘3
哀痛,ai-thong3
餲甜,ai2-tiⁿ
哀悼,ai-to͘7
埃多方散,ai-to-hong-san2
哀慟,ai-tong7
沃,ak
阿膠,a-ka
沃仔菜,ak-a2-chhai3
阿猴,a-kau5
沃喉,ak-au5
偓促,ak-chak
握手,ak-chhiu2
沃水,ak-chui2
沃花,ak-hoe
沃雨,ak-ho͘7
阿囝,a-kiaⁿ2
阿妗,a-kim7
阿哥,an2-ko
阿官,an2-koaⁿ
阿公,an2-kong
阿公豆,a-kong-tau7
阿哥舍,a-ko-sia3
阿姑,an2-ko͘
沃肥,ak-pui5
沃熄,ak-sit
沃澹,ak-tam5
阿舅,an2-ku7
阿理不達,a-li2-put-tat
阿里蔘,a-li2-sim
阿里山,a-li2-soaⁿ
阿孥,a-lo͘5
庵,am
掩,am
諳,am
湆,am2
&#25566;,am2
阿姆,a-m2
阿姆,a2-m2
阿姆,an2-m2
湆湆,am2-am2
湆bok8-bok8,am2-bok8-bok8
湆模粿,am2-bo͘5-ke2
湆參芋,am2-chham-o͘7
湆ioh-ioh,am2-ioh-ioh
湆ioh8-ioh8,am2-ioh8-ioh8
湆io2-io2,am2-io2-io2
湆ka3-ka3,am2-ka3-ka3
闇弱,am2-jiok8
湆咯咯,am2-kih-kih
黯官,am2-koaⁿ
湆濾,am2-li7
湆糜,am2-be5
湆糜,am2-moai5
湆糜,am2-moe5
湆糜,am2-mai5
湆糜,am2-ber5
闇昧,am2-mui7
湆沫,am2-pheh8
湆沫,am2-phoeh8
湆沫,am2-pherh8
湆庀,am2-phi2
湆波,am2-pho
湆紕,am2-phui3
am2扁,am2-piⁿ2
am2扁孔,am2-piⁿ2-khang
am2扁糕,am2-piⁿ2-ko
am2扁甜,am2-piⁿ2-tiⁿ
湆pui7,am2-pui7
am2-pui7,am2-pui7
湆杓,am2-siah8
湆酸,am2-sng
湆凍,am2-tang3
湆榨,am2-te3
湆湯,am2-thng
湆湯湯,am2-thin-thong
暗,am3
暗暗,am3-am3
暗暗醬醬,am3-am3-chiuⁿ3-chiuⁿ3
暗紅,am3-ang5
暗墨墨,am3-bok8-bok8
暗碼,am3-be2
暗默,am3-bek8
暗bin摸,am3-bin-bong
暗摸摸,am3-bong-bong
暗謀,am3-bo͘5
暗查,am3-chha5
暗查大老,am3-cha-toa7-lo2
暗奏,am3-chau3
暗灶,am3-chau3
暗靜,am3-cheng7
暗抄,am3-chhau
頷腮,am7-chhi
暗刺,am3-chhi3
暗車,am3-chhia
暗淺,am3-chhian2
暗串,am3-chhng3
暗指,am3-chi2
暗箭,am3-chiⁿ3
暗錢,am3-chiⁿ5
暗醬,am3-chiuⁿ3
暗做靜,am3-cho3-cheng7
暗藏,am3-chong5
暗助,am3-cho͘7
暗卒卒,am3-chut8-chut8
暗月,am3-geh8
暗擬,am3-gi2
暗議,am3-gi7
暗語,am3-gu2
暗害,am3-hai7
暗學館,am3-oh8-koan2
暗合,am3-hap8
暗火,am3-he2
暗火,am3-hoe2
暗火,am3-her2
暗下,am3-he7
暗行,am3-heng7
暗和,am3-ho5
暗號,am3-ho7
暗訪,am3-hong2
暗防,am3-hong5
暗雨,am3-ho͘7
暗婚,am3-hun
暗分,am3-hun
暗昏,am3-hun
暗雲,am3-hun5
暗恨,am3-hun7
暗意,am3-i3
暗夜,am3-ia7
暗影,am3-iaⁿ2
暗約,am3-iok
暗酋,am3-iu5
暗洋,am3-iuⁿ5
暗溝,am3-kau
暗計,am3-ke3
暗價,am3-ke3
暗隔,am3-keh
暗間,am3-keng
暗弓,am3-keng
暗境,am3-keng2
暗蓋,am3-kham3
暗器,am3-khi3
暗--去,am3--khi3
暗睏,am3-khun3
暗機,am3-ki
暗痣,am3-ki3
暗記,am3-ki3
暗記號,am3-ki3-ho7
暗告,am3-ko3
暗訣,am3-koat
暗光鳥,am3-koa3-chiau2
暗股,am3-ko͘2
暗鬼,am3-kui2
暗貴,am3-kui3
暗綠,am3-lek8
暗念,am3-liam7
暗流,am3-liu5
暗路,am3-lo͘7
暗暝,am3-me5
暗名,am3-mia5
暗藍,am3-lam5
暗貓貓,am3-niau-niau
暗晏,am3-oaⁿ3
暗晏鳥,am3-oaⁿ3-chiau2
暗學,am3-oh8
暗烏,am3-o͘
暗板,am3-pan2
暗批,am3-phoe
暗稟,am3-pin2
暗飯,am3-png7
暗步,am3-po͘7
暗不靜,am3-put-chiⁿ7
暗sam3,am3-sam3
暗殺,am3-sat
暗西,am3-sai
暗室,am3-sek
暗色,am3-sek
暗時,am3-si5
暗示,am3-si7
暗麝,am3-sia7
暗神,am3-sin5
